Frequency [Hz]	Total Phase [deg]	Total SPL 2pi [dB]
22.7757726951338	159.748995239552	71.2200238304898
23.1070539374455	159.524670530306	71.4708549823721
23.443153776385	159.296120046179	71.7217775973332
23.7841423000544	159.063275110593	71.9727946926341
24.1300906160104	158.826064851433	72.2239093627939
24.4810708660931	158.584416119096	72.4751247789525
24.8371562414697	158.338253400818	72.7264441880023
25.1984209978975	158.087498731084	72.9778709114657
25.5649404712086	157.832071597973	73.2294083440906
25.9367910930202	157.571888845223	73.4810599521373
26.3140504066728	157.306864569852	73.7328292713227
26.6967970834007	157.03691001512	73.9847199043904
27.0851109387379	156.761933458635	74.2367355182678
27.4790729491618	156.481840095386	74.4888798407718
27.87876526898	156.196531915492	74.7411566568184
28.2842712474619	155.905907576427	74.9935698040886
28.69567544622	155.609862269502	75.2461231681012
29.1130636568437	155.308287580356	75.498820676634
29.53652291879	155.001071343208	75.7516662934352
29.9661415375336	154.688097488636	76.004664011158
30.4020091029823	154.369245884606	76.2578178434469
30.8442165081588	154.0443921705	76.5111318160993
31.2928559681555	153.71340758389	76.7646099572176
31.748021039364	153.376158779776	77.0182562862605
32.2098066389851	153.032507642041	77.272074801895
32.678309064822	152.682311086849	77.526069468542
33.1536260153617	152.32542085773	77.7802442014986
33.6358566101486	151.961683312109	78.0346028505108
34.1251014104537	151.59093919902	78.2891491816616
34.6214624402457	151.213023427794	78.5438868574243
35.125043207466	150.827764827496	78.7988194147214
35.6359487256136	150.43498589692	79.0539502408167
36.154285535644	150.034502544995	79.3092825468507
36.6801617281868	149.626123821457	79.564819338817
37.2136869660859	149.209651637701	79.8205633857605
37.7549725072677	148.784880477789	80.076517184959
38.3041312279429	148.351597099622	80.332682923832
38.8612776461442	147.909580226376	80.5890624383008
39.4265279456075	147.45860022838	80.8456571673009
40	146.998418795709	81.1024681031263
40.581813397501	146.528788601887	81.3594957372595
41.1720894657397	146.049452959219	81.616740001317
41.7709512970966	145.560145466444	81.8742002027109
42.3785237743718	145.060589649559	82.1318749546009
42.9949335968278	144.5504985969	82.3897620996799
43.6203093066103	144.029574589769	82.6478586273057
44.2547813155533	143.497508730218	82.9061605834611
44.8984819323749	142.953980567858	83.1646629729897
45.5515453902677	142.398657727982	83.4233596535246
46.2141078748909	141.831195543642	83.6822432204938
46.88630755277	141.251236694817	83.9413048825522
47.5682846001088	140.65841085833	84.2005343267632
48.2601812320209	140.05233437274	84.4599195728206
48.9621417321862	139.432609923131	84.7194468155791
49.6743124829394	138.798826251441	84.9791002551398
50.3968419957949	138.150557898821	85.2388619137212
51.1298809424172	137.487364987444	85.4987114385425
51.8735821860404	136.808793050205	85.7586258899451
52.6281008133455	136.114372917902	86.0185795139978
53.3935941668014	135.403620674748	86.2785434988595
54.1702218774757	134.676037694423	86.5384857142256
54.9581458983236	133.931110770376	86.7983704332575
55.75753053796	133.168312355715	87.0581580364959
56.5685424949238	132.387100929733	87.3178046973939
57.39135089244	131.586921509983	87.5772620492801
58.2261273136875	130.767206330726	87.8364768337803
59.07304583758	129.927375710628	88.0953905310013
59.9322830750673	129.066839134589	88.3539389721128
60.8040182059646	128.184996576685	88.612051935368
61.6884330163176	127.281240093177	88.8696527270831
62.585711936311	126.354955716456	89.1266577496699
63.496042078728	125.405525682441	89.3829760594735
64.4196132779702	124.432331025306	89.6385089179431
65.356618129644	123.434754574327	89.8931493405387
66.3072520307235	122.412184387919	90.146781648772
67.2717132202972	121.364017659452	90.3992810318917
68.2502028209074	120.289665127919	90.6505131259453
69.2429248804914	119.188556023823	90.900333619282
70.250086414932	118.060143576387	91.1485878949751
71.2718974512271	116.903911102215	91.3951107221282
72.3085710712881	115.719378687461	91.6397260095383
73.3603234563737	114.506110465184	91.8822466366793
74.4273739321717	113.263722476593	92.1224743783776
75.5099450145355	111.991891089115	92.3601999407972
76.6082624558859	110.690361925576	92.5952031273425
77.7225552922885	109.358959237145	92.8272531537103
78.853055891215	107.997595628321	93.0561091314596
80	106.606282015372	93.2815207389748
81.1636267950019	105.185137670863	93.5032290974477
82.3441789314794	103.7344001771	93.7209678673514
83.5419025941931	102.254435081489	93.9344645777109
84.7570475487436	100.745745018545	94.1434421961928
85.9898671936557	99.2089780381617	94.3476209425963
87.2406186132206	97.6449348597709	94.5467203417325
88.5095626311066	96.0545747593694	94.7404615040158
89.7969638647499	94.4390197930719	94.9285696135317
91.1030907805353	92.7995570690255	95.1107765941577
92.4282157497818	91.137638800799	95.286823914867
93.7726151055401	89.4548799109538	95.4564654860968
95.1365692002177	87.7530530038104	95.6194705905492
96.5203624640417	86.0340805909354	95.7756267845901
97.9242834643725	84.3000245300187	95.9247427011017
99.3486249658787	82.5530727248836	96.0666506817602
100.79368399159	80.7955232276309	96.2012091666977
102.259761884834	79.02976597874	96.3283047726429
103.747164372081	77.2582625120882	96.4478539970248
105.256201626691	75.4835240339065	96.5598044950359
106.787188333603	73.7080883524752	96.6641358889329
