Frequency [Hz]	Total Phase [deg]	Vent 1 SPL [dB]	Total SPL 2pi [dB]
18.8774862536339	-82.37187430302	81.8284490260873	63.8064540250445
19.1520656139715	-83.2008509046017	82.0523103724304	64.2767718244962
19.4306388230721	-84.0471101112049	82.275349581383	64.7463886251261
19.7132639728038	-84.9108346853508	82.4975334857656	65.2152680302933
20	-85.7922067328615	82.7188275368694	65.683372341836
20.2909066987505	-86.6914072893195	82.9391957728673	66.1506625268205
20.5860447328698	-87.6086158773889	83.158600789994	66.6170981870747
20.8854756485483	-88.5440100349514	83.3770037169691	67.0826375319833
21.1892618871859	-89.4977648142747	83.5943641931691	67.5472373550487
21.4974667984139	-90.4700522527358	83.8106403510815	68.0108530147534
21.8101546533052	-91.4610408159681	84.0257888036026	68.4734384202863
22.1273906577767	-92.4708948146871	84.2397646367621	68.9349460227163
22.4492409661875	-93.4997737968823	84.4525214084801	69.3953268122178
22.7757726951338	-94.5478319175343	84.6640111539721	69.8545303219679
23.1070539374455	-95.6152172885353	84.8741843984284	70.3125046393382
23.443153776385	-96.7020713120483	85.0829901775946	70.7691964250109
23.7841423000544	-97.8085280011398	85.290376066868	71.2245509406333
24.1300906160104	-98.9347132921518	85.4962882195111	71.6785120856123
24.4810708660931	-100.080744353945	85.7006714145479	72.1310224436151
24.8371562414697	-101.246728899827	85.9034691148697	72.5820233393022
25.1984209978975	-102.432764508691	86.1046235360155	73.0314549057598
25.5649404712086	-103.63893796258	86.304075726023	73.4792561630246
25.9367910930202	-104.865324608606	86.5017656566526	73.9253651080071
26.3140504066728	-106.11198775382	86.6976323261822	74.3697188160082
26.6967970834007	-107.378978102274	86.8916138738408	74.8122535538988
27.0851109387379	-108.666333244085	87.0836477058078	75.2529049048887
27.4790729491618	-109.974077206837	87.2736706325374	75.6916079046439
27.87876526898	-111.302220080053	87.4616190169843	76.1282971883294
28.2842712474619	-112.650757723764	87.6474289331081	76.5629071479533
28.69567544622	-114.01967157236	87.8310363338123	76.9953720991692
29.1130636568437	-115.408928544898	88.0123772272428	77.4256264564608
29.53652291879	-116.818481072821	88.1913878601226	77.8536049153861
29.9661415375336	-118.248267255695	88.3680049065472	78.2792426403041
30.4020091029823	-119.69821115488	88.5421656603996	78.7024754557448
30.8442165081588	-121.168223234239	88.7138082292846	79.1232400393192
31.2928559681555	-122.658200955845	88.8828717276184	79.541474113808
31.748021039364	-124.168029537273	89.0492964662612	79.9571166358139
32.2098066389851	-125.697582875433	89.2130241358396	80.3701079781256
32.678309064822	-127.246724639994	89.3739979806881	80.7803901027225
33.1536260153617	-128.815309537288	89.5321629601472	81.1879067211553
33.6358566101486	-130.403184743209	89.6874658937917	81.5926034388792
34.1251014104537	-132.010191501007	89.8398555870394	81.9944278799866
34.6214624402457	-133.636166877068	89.989282933506	82.3933297887064
35.125043207466	-135.280945664827	90.1357009904372	82.7892611039996
35.6359487256136	-136.944362423861	90.2790650235578	83.1821760035918
36.154285535644	-138.626253638043	90.4193325177495	83.5720309138528
36.6801617281868	-140.326459973414	90.556463150085	83.9587844820516
37.2136869660859	-142.044828613195	90.6904187219268	84.3423975076942
37.7549725072677	-143.781215644179	90.8211630470298	84.7228328298831
38.3041312279429	-145.535488465599	90.9486617928785	85.100055167929
38.8612776461442	-147.307528188548	91.0728822728303	85.4740309127861
39.4265279456075	-149.097231991137	91.1937931870327	85.8447278672782
40	-150.904515391822	91.3113643105307	86.2121149335316
40.581813397501	-152.729314400757	91.4255661274727	86.5761617465225
41.1720894657397	-154.571587506655	91.5363694108677	86.9368382531927
41.7709512970966	-156.431317454394	91.6437447479381	87.294114237175
42.3785237743718	-158.30851276663	91.747662011749	87.6479587898116
42.9949335968278	-160.203208960839	91.8480897804837	87.9983397288339
43.6203093066103	-162.115469411598	91.9449947064833	88.3452229668194
44.2547813155533	-164.045385806533	92.0383408379669	88.6885718323456
44.8984819323749	-165.9930781432	92.1280888972285	89.0283463476335
45.5515453902677	-167.958694213344	92.2141955200567	89.3645024674275
46.2141078748909	-169.942408520469	92.2966124621658	89.6969912849013
46.88630755277	-171.944420576635	92.3752857795737	90.0257582115216
47.5682846001088	-173.964952525014	92.4501549911165	90.3507421390641
48.2601812320209	-176.004246036045	92.5211522326757	90.6718745933521
48.9621417321862	-178.062558427432	92.5882014142039	90.989078890807
49.6743124829394	179.859842038135	92.6512173922817	91.3022693105422
50.3968419957949	177.762681718423	92.710105172712	91.6113502965055
51.1298809424172	175.645688053922	92.7647591595435	91.9162157060616
51.8735821860404	173.508596950979	92.8150624688782	92.2167481233714
52.6281008133455	171.351161097471	92.8608863278235	92.5128182579246
53.3935941668014	169.17315920697	92.902089580914	92.8042844505543
54.1702218774757	166.974406168087	92.9385183281781	93.0909923111054
54.9581458983236	164.754764052313	92.9700057206277	93.372774513537
55.75753053796	162.514153906192	92.9963719401756	93.6494507754622
56.5685424949238	160.25256822184	93.017424391653	93.9208280497967
57.39135089244	157.970083944021	93.03295813452	94.1867009561109
58.2261273136875	155.666875832618	93.0427565808255	94.4468524782391
59.07304583758	153.343229957453	93.0465924837526	94.7010549524843
59.9322830750673	150.999557059217	93.0442292374837	94.9490713671505
60.8040182059646	148.636405467844	93.0354225039398	95.1906569889579
61.6884330163176	146.2544732302	93.0199221750698	95.4255613250154
62.585711936311	143.854619065444	92.9974746707312	95.6535304203939
63.496042078728	141.437871741952	92.9678255618675	95.8743094810022
64.4196132779702	139.005437457739	92.9307224968378	96.0876457996244
65.356618129644	136.558704810207	92.8859183957366	96.2932919499531
66.3072520307235	134.099246963736	92.8331748638557	96.4910091997727
67.2717132202972	131.628820667459	92.7722657617591	96.6805710807626
68.2502028209074	129.149361841639	92.7029808565732	96.861767039522
69.2429248804914	126.662977539149	92.6251294679276	97.0344060832514
70.250086414932	124.171934196665	92.5385440134595	97.1983203250052
71.2718974512271	121.678642214505	92.443083353788	97.3533683284191
72.3085710712881	119.185637038907	92.3386358361085	97.4994381510642
73.3603234563737	116.695557058834	92.2251219395617	97.6364499895811
74.4273739321717	114.211118762827	92.1024964344784	97.7643583386953
75.5099450145355	111.735089721434	91.9707499813212	97.8831535899354
76.6082624558859	109.270260058992	91.8299101130766	97.9928630138068
77.7225552922885	106.819413148045	91.680041566076	98.0935510903983
78.853055891215	104.385296295213	91.5212459475327	98.1853191767114
80	101.970592186304	91.3536607520742	98.2683045229885
81.1636267950019	99.577891820915	91.1774577627554	98.3426786735264
82.3441789314794	97.2096695956026	90.9928408930728	98.4086453084963
83.5419025941931	94.8682610951955	90.8000435441667	98.4664376009548
84.7570475487436	92.5558440311881	90.599325564804	98.5163151766409
85.9898671936557	90.2744226326638	90.3909699103484	98.5585607727636
87.2406186132206	88.0258156575115	90.1752791005973	98.5934766956603
88.5095626311066	85.8116480579881	89.9525715753171	98.6213811761572
89.7969638647499	83.6333462120094	89.7231780410557	98.6426047162107
91.1030907805353	81.4921365254301	89.4874378941129	98.6574865117101
92.4282157497818	79.3890471246922	89.245695793281	98.6663710250539
93.7726151055401	77.3249122954351	88.9982984430761	98.6696047682198
95.1365692002177	75.3003792811031	88.7455916345414	98.6675333434099
96.5203624640417	73.3159170350004	88.4879175771386	98.660498774787
97.9242834643725	71.3718265172773	88.2256125423883	98.6488371519623
99.3486249658787	69.4682521419429	87.9590048282866	98.632876594263
100.79368399159	67.6051940048159	87.6884130434364	98.6129355347166
102.259761884834	65.7825205579506	87.4141447014694	98.5893213143275
103.747164372081	63.9999814362758	87.1364951097396	98.5623290706293
105.256201626691	62.2572201851711	86.8557465313901	98.5322408996112
106.787188333603	60.5537866810786	86.5721675965875	98.4993252668146
108.340443754951	58.8891490791736	86.2860129367971	98.4638366414728
109.916291796647	57.2627051612133	85.9975230152287	98.426015326823
111.51506107592	55.6737929920515	85.7069241267886	98.386087459926
113.137084989848	54.1217008244101	85.4144285418205	98.344265155277
114.78270178488	52.6056762181458	85.1202347694066	98.3007467679779
116.452254627375	51.1249343624772	84.824527917859	98.2557172541021
