Frequency [Hz]	Impedance Phase [deg]	Impedance Magnitude [ohm]
12.9683955465101	44.4082367584376	8.13189911491128
13.1570252033364	44.9967963824775	8.23644158741178
13.3483985417003	45.5914780645371	8.3463411371128
13.5425554693689	46.1921860134651	8.46197621963549
13.7395364745809	46.7988033117547	8.58376108467738
13.93938263449	47.4111890476262	8.71215008482434
14.142135623731	48.0291750150821	8.84764261918427
14.34783772311	48.6525619058629	8.99078882328825
14.5565318284219	49.281114901574	9.14219613956259
14.768261459395	49.9145585548599	9.30253693092586
14.9830707687668	50.5525708243765	9.4725573351555
15.2010045514911	51.1947760981196	9.65308760148268
15.4221082540794	51.8407370016758	9.84505420587699
15.6464279840777	52.4899447398726	10.0494941109285
15.874010519682	53.1418076590345	10.2675716244392
16.1049033194925	53.7956376384964	10.5005984235725
16.339154532411	54.4506338185782	10.7500574564551
16.5768130076809	55.1058630402722	11.0176316210317
16.8179283050743	55.7602361989169	11.3052383661934
17.0625507052269	56.4124794855093	11.6150716826774
17.3107312201229	57.0610991845127	11.9496533787524
17.562521603733	57.7043382869086	12.3118961073325
17.8179743628068	58.340122619999	12.7051813823756
18.077142767822	58.9659934303997	13.13345687283
18.3400808640934	59.5790222945247	13.6013587074125
18.6068434830429	60.1757027387568	14.1143665324353
18.8774862536339	60.7518108286607	14.6790018888374
19.1520656139715	61.3022239252433	15.3030844904304
19.4306388230721	61.8206823269609	15.9960667655588
19.7132639728038	62.2994718594642	16.7694754484687
20	62.7289954162552	17.6375014409681
20.2909066987505	63.0971859801063	18.6177977517324
20.5860447328698	63.3886893947189	19.7325734395869
20.8854756485483	63.5837063407053	21.0101144706248
21.1892618871859	63.6563195306717	22.4869285584577
21.4974667984139	63.5720261498952	24.2108128544765
21.8101546533052	63.2840145808222	26.2452975594962
22.1273906577767	62.727409135591	28.6761403942968
22.4492409661875	61.8101491491619	31.6208195353426
22.7757726951338	60.3981830108602	35.2421229602195
23.1070539374455	58.2909756861672	39.7661637595954
23.443153776385	55.1808597676868	45.5003449913654
23.7841423000544	50.588319233758	52.8266396469245
24.1300906160104	43.7771399762766	62.0736421622197
24.4810708660931	33.7332798613149	72.9719534618664
24.8371562414697	19.5758780629582	83.2412502445237
25.1984209978975	1.9972243634703	87.625946785316
25.5649404712086	-15.6374232446271	82.5767472470371
25.9367910930202	-29.8922019707447	71.683853106401
26.3140504066728	-39.9838807906047	60.2926828549887
26.6967970834007	-46.7686842636482	50.7018097590115
27.0851109387379	-51.2676340584211	43.146048356485
27.4790729491618	-54.2276113533468	37.2590438841256
27.87876526898	-56.1359513103766	32.6319607420907
28.2842712474619	-57.3053515954321	28.940296206444
28.69567544622	-57.9395423982975	25.9472879941786
29.1130636568437	-58.1746642844104	23.4834510506391
29.53652291879	-58.1042103933449	21.4270058545483
29.9661415375336	-57.794096677035	19.6893641732021
30.4020091029823	-57.2919377911073	18.205087797844
30.8442165081588	-56.6328945322081	16.9250642688648
31.2928559681555	-55.8434529485918	15.8118607340971
31.748021039364	-54.9439263242218	14.8365290393365
32.2098066389851	-53.9501494942408	13.9763791587585
32.678309064822	-52.8746503917607	13.2134046982864
33.1536260153617	-51.7274757306504	12.5331530440629
33.6358566101486	-50.5167831406368	11.9239029482694
