Frequency [Hz]	Impedance Phase [deg]	Impedance Magnitude [ohm]
34.1251014104537	66.7808792275447	40.5514507623104
34.6214624402457	65.9984382434078	44.1285340746399
35.125043207466	64.9308221634334	48.3751093470386
35.6359487256136	63.4882591482892	53.4808068454974
36.154285535644	61.5420196970932	59.7034708942755
36.6801617281868	58.9031713082594	67.3924113726267
37.2136869660859	55.2887960700288	77.0064224271137
37.7549725072677	50.2714807993376	89.0866065702244
38.3041312279429	43.2203387472105	104.04804625232
38.8612776461442	33.3046422965121	121.42419486729
39.4265279456075	19.821095023523	138.087238219511
40	3.23010127540927	146.965615829504
40.581813397501	-13.9315178298854	142.196620040725
41.1720894657397	-28.6353008135321	127.024269961921
41.7709512970966	-39.7219534117895	109.165789938454
42.3785237743718	-47.6466561602783	93.124552382059
42.9949335968278	-53.2630089100051	80.0097068415324
43.6203093066103	-57.2794666187092	69.5640728710367
44.2547813155533	-60.1875785962052	61.2400771283368
44.8984819323749	-62.3135860870651	54.5372109639162
45.5515453902677	-63.874275981998	49.0662897200015
46.2141078748909	-65.0162508733268	44.5386877033234
46.88630755277	-65.8409274123161	40.7424562617407
47.5682846001088	-66.4201246178121	37.5211982745703
48.2601812320209	-66.8058501542869	34.7582514620406
48.9621417321862	-67.0365503696154	32.3654494656757
49.6743124829394	-67.1411857096078	30.2752517470205
50.3968419957949	-67.1419458484548	28.4352276699993
51.1298809424172	-67.0560967499167	26.8041601209876
51.8735821860404	-66.8972622457596	25.3492627771042
52.6281008133455	-66.6763297636601	24.0441682541913
53.3935941668014	-66.4021014188628	22.8674552241977
54.1702218774757	-66.0817694637196	21.8015567124301
54.9581458983236	-65.7212685360478	20.8319412349972
55.75753053796	-65.3255401335144	19.9464915849051
56.5685424949238	-64.8987336431792	19.1350284809487
57.39135089244	-64.4443608921044	18.3889415914612
58.2261273136875	-63.9654162208261	17.7009010041847
59.07304583758	-63.4644706840333	17.0646295834625
59.9322830750673	-62.9437466245185	16.4747218571345
60.8040182059646	-62.4051772076819	15.9264987860656
61.6884330163176	-61.8504543225256	15.4158904441913
62.585711936311	-61.2810674038997	14.93934058484
63.496042078728	-60.6983351107254	14.4937285012322
64.4196132779702	-60.103431338601	14.0763046517147
65.356618129644	-59.4974067060942	13.6846373157296
66.3072520307235	-58.8812063997308	13.3165681469044
67.2717132202972	-58.2556850703453	12.970174946433
68.2502028209074	-57.6216193267931	12.6437403300632
69.2429248804914	-56.9797182603276	12.335725232355
70.250086414932	-56.3306323457178	12.0447464020356
71.2718974512271	-55.6749609972134	11.7695572067245
72.3085710712881	-55.0132590041434	11.5090311947752
73.3603234563737	-54.3460420288589	11.2621479645259
74.4273739321717	-53.6737913163239	11.027980972932
75.5099450145355	-52.9969577379943	10.8056869809613
76.6082624558859	-52.3159652712226	10.594496885788
77.7225552922885	-51.6312139981658	10.3937077324118
78.853055891215	-50.9430826941836	10.2026757319518
80	-50.251931064321	10.0208101421281
81.1636267950019	-49.5581016771528	9.84756788862238
82.3441789314794	-48.8619216376142	9.68244882509872
83.5419025941931	-48.1637040341281	9.52499154544091
84.7570475487436	-47.4637491901114	9.37476967486288
85.9898671936557	-46.7623457455958	9.23138857745587
87.2406186132206	-46.0597715910691	9.09448242685638
88.5095626311066	-45.3562946726013	8.96371159436912
